Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1634.83861
FDW14,OUT017,1303.583136
NCN55,OUT010,786.17664
FDQ58,OUT017,1987.839112
FDY38,OUT027,6182.971674
FDH56,OUT046,1800.702706
FDL48,OUT018,655.18049
FDC48,OUT027,1510.553724
FDN33,OUT045,1074.188404
FDA36,OUT017,2775.440564
FDT44,OUT017,1753.577382
FDQ56,OUT045,1667.715814
NCC54,OUT019,770.03099
FDU11,OUT049,1580.356196
DRL59,OUT013,879.601696
FDM24,OUT049,2640.269848
FDI57,OUT045,3581.73768
DRC12,OUT018,3435.42813
NCM42,OUT027,3502.527454
FDA46,OUT010,427.390336
FDA31,OUT013,2670.350692
NCJ31,OUT035,3990.53888
FDG52,OUT046,756.24893
NCL19,OUT019,445.133906
FDS10,OUT035,3302.341368
FDX22,OUT010,547.540604
NCF19,OUT035,710.388626
NCE06,OUT046,2086.064586
DRC27,OUT046,4391.170714
FDE21,OUT035,2049.924962
NCR42,OUT019,77.978496
FDX51,OUT018,2301.484176
NCR06,OUT018,440.999288
FDU31,OUT027,5302.13159
FDU59,OUT017,2242.374452
FDR03,OUT027,5233.148052
FDS49,OUT027,1785.802102
FDD48,OUT010,256.159892
NCF18,OUT017,3218.730204
NCD43,OUT027,2342.48414
NCD54,OUT018,2033.792628
FDY19,OUT010,259.369048
NCY54,OUT017,2411.274596
NCL19,OUT018,2293.28152
FDP23,OUT010,396.244212
FDC26,OUT013,1674.134126
FDR14,OUT010,163.567086
NCS41,OUT035,3394.368244
FDF41,OUT035,3685.023234
FDU34,OUT046,2046.775728
DRH11,OUT046,845.19981
FDM03,OUT013,2166.087088
FDS31,OUT017,3420.827136
FDJ20,OUT017,1942.364972
FDV44,OUT027,3877.426118
FDG02,OUT049,3121.723144
FDA09,OUT013,3885.77525
FDT04,OUT013,580.54431
FDL58,OUT019,622.02365
FDE52,OUT045,1513.849434
FDW12,OUT035,2642.939706
FDL51,OUT017,3792.436748
NCY42,OUT027,2921.410556
FDR07,OUT017,1375.815778
FDN40,OUT045,2606.054386
FDB35,OUT027,2400.415398
FDA22,OUT017,2197.619376
NCL06,OUT046,5100.613904
FDI35,OUT013,4245.194064
NCW42,OUT045,3824.55494
NCX06,OUT049,3120.191804
FDC37,OUT027,2455.77001
FDZ14,OUT018,1829.332106
DRG49,OUT049,5034.919418
NCG06,OUT045,3938.779588
DRC36,OUT045,3320.917188
FDV21,OUT019,536.974358
FDB53,OUT046,3452.798852
DRP47,OUT019,538.339248
FDA14,OUT013,2639.870368
DRC24,OUT035,2558.30321
FDW21,OUT018,1361.314654
NCH29,OUT046,1943.523464
FDU58,OUT013,3591.22533
FDY27,OUT017,2164.988518
FDV56,OUT035,1731.026736
FDT59,OUT046,3948.080814
FDB23,OUT046,3211.080162
FDR49,OUT045,701.400326000001
FDB03,OUT010,652.1511
FDN39,OUT045,3227.805058
FDX02,OUT027,6158.676632
FDQ16,OUT027,2811.633452
FDU35,OUT018,1559.689764
NCT29,OUT013,1586.481556
FDZ27,OUT046,721.414274
FDN57,OUT017,2137.111472
FDA03,OUT018,2502.063084
FDZ36,OUT045,3133.367986
NCU05,OUT013,1270.166634
FDT39,OUT018,2314.846782
FDK60,OUT017,1683.77491
FDZ25,OUT017,3117.861504
FDG12,OUT046,2464.305566
DRB01,OUT019,610.145778
NCC43,OUT027,5771.194348
FDX13,OUT019,492.971636
FDM22,OUT049,825.019412
FDJ03,OUT027,1429.33944
FDU14,OUT018,4278.49738
FDB33,OUT010,415.585702
FDP27,OUT046,2859.950558
FDO38,OUT010,155.171348
FDE28,OUT027,7018.757072
FDO27,OUT035,1537.159092
DRL23,OUT027,2312.55643
FDS28,OUT046,967.97333
FDX24,OUT013,1257.902598
FDZ02,OUT035,1199.099142
FDL46,OUT045,1816.888304
FDS60,OUT027,3766.13099
NCO06,OUT017,565.43065
FDO16,OUT035,1722.371336
FDC60,OUT049,1562.805708
FDA48,OUT018,3947.421672
FDZ36,OUT027,4848.482102
FDK27,OUT045,1728.703094
FDW23,OUT018,277.219146
FDM14,OUT018,1276.718106
FDM14,OUT013,1326.699712
FDW60,OUT018,3186.205874
FDE21,OUT013,1708.1099
NCM42,OUT035,1796.068738
FDY59,OUT010,210.572566
DRI49,OUT049,1463.015604
FDT28,OUT019,202.909208
FDQ22,OUT018,267.664916
FDR60,OUT049,1137.545932
FDC50,OUT019,231.46537
FDV24,OUT013,2425.762404
DRF48,OUT010,597.129388
FDQ47,OUT046,598.993628
DRN36,OUT049,1598.073134
NCY06,OUT035,2012.853218
FDE52,OUT035,1604.285048
NCB54,OUT045,1372.034034
NCF31,OUT035,2345.11405
FDJ08,OUT027,5152.379854
NCC07,OUT017,1350.07595
NCD19,OUT027,1733.856386
FDL46,OUT049,1946.612776
FDM20,OUT045,4571.94873
NCI06,OUT010,475.654178
DRM11,OUT035,4061.226866
NCH07,OUT018,2153.004118
FDS23,OUT013,2187.059788
FDO49,OUT018,644.521032
FDS35,OUT049,902.711614
DRK39,OUT045,1447.762126
DRI39,OUT049,818.43465
FDV04,OUT017,1560.362222
NCN14,OUT035,3115.264884
FDH08,OUT013,3778.741242
FDS20,OUT046,3483.405678
FDV40,OUT049,962.300714
FDZ48,OUT010,232.470728
FDS24,OUT027,2401.267622
FDK44,OUT049,2376.832762
FDS48,OUT045,3355.958242
FDK26,OUT010,514.510266
FDD23,OUT045,3394.195136
NCH54,OUT017,2467.541354
NCP14,OUT010,212.583282
FDM60,OUT010,62.85152
FDV24,OUT017,2663.992302
FDH08,OUT018,3355.445576
FDS12,OUT027,3588.49555
FDR39,OUT027,4505.262202
FDP12,OUT027,892.464952000001
DRF60,OUT027,5034.300224
FDC09,OUT035,1704.274892
FDF50,OUT018,3141.151188
FDG28,OUT035,3625.64719
NCE19,OUT017,898.909896
NCM53,OUT010,283.004948
NCN18,OUT049,1474.260966
FDF32,OUT035,3523.520128
FDF11,OUT013,3245.961424
DRI59,OUT049,4139.891136
NCG54,OUT035,2540.732748
FDM44,OUT046,1472.61644
FDT57,OUT018,2634.224384
FDV24,OUT046,2336.065828
FDI50,OUT019,516.627510000001
FDS09,OUT035,899.435878000001
NCC31,OUT027,3922.813704
FDQ07,OUT019,513.691332
FDC22,OUT017,3302.96722
FDZ56,OUT046,2889.758424
FDZ40,OUT019,188.907434
FDS46,OUT027,2428.911638
DRD24,OUT045,1609.198652
FDV45,OUT017,3317.162076
FDL26,OUT045,3597.310742
FDA56,OUT018,1618.233558
FDN27,OUT046,1472.11709
FDM20,OUT049,4988.459894
FDO16,OUT017,1764.46987
FDL03,OUT035,3048.871308
FDE58,OUT046,2004.750432
FDI02,OUT027,3818.376316
NCC55,OUT019,93.231974
FDR03,OUT018,3330.96411
FDB14,OUT017,1560.894862
FDR45,OUT013,4667.537636
NCN07,OUT017,1953.051062
FDM51,OUT019,278.9702
FDT52,OUT027,6232.627038
FDL26,OUT046,2915.231932
NCZ42,OUT046,3977.85539
DRI47,OUT019,449.91435
FDW40,OUT013,2415.748772
FDN34,OUT046,3414.908174
FDS01,OUT035,3143.70786
NCG55,OUT045,1763.484486
FDC11,OUT035,1330.754434
FDX35,OUT018,2551.185808
NCB06,OUT046,2301.943578
FDR09,OUT019,517.766028
FDC53,OUT017,1561.580636
FDY45,OUT013,4262.205254
FDA22,OUT010,431.777958
FDE02,OUT035,1744.589082
FDW21,OUT045,1626.868984
FDV34,OUT046,1287.084612
FDS59,OUT049,2085.278942
NCW17,OUT017,2721.603976
NCK54,OUT046,2083.35478
FDG17,OUT019,510.695232
FDG35,OUT017,3412.870826
FDD08,OUT010,66.639922
NCO07,OUT017,4312.592998
FDJ10,OUT010,363.380324
FDW36,OUT017,1641.469978
FDW21,OUT010,205.259482
FDY19,OUT017,2103.601758
DRE03,OUT013,687.498421999999
NCC55,OUT049,894.622144
FDH52,OUT010,132.241196
FDO09,OUT017,4651.451908
FDU43,OUT045,3974.133568
FDX09,OUT010,394.672924
FDH40,OUT019,308.791382
FDW58,OUT017,1822.6275
FDC47,OUT017,5090.34061
NCR41,OUT035,1324.023196
DRG49,OUT035,4561.981704
FDC52,OUT027,3992.942418
FDY13,OUT046,1312.897678
FDY35,OUT013,734.457295999999
FDI35,OUT017,4227.350624
NCU18,OUT049,2307.682774
FDY33,OUT018,2540.080264
FDC15,OUT027,4046.479396
FDU01,OUT049,3788.648346
NCU42,OUT046,3732.20848
NCV29,OUT018,2591.180414
NCY30,OUT017,2883.87941
FDQ46,OUT049,1731.060026
FDG58,OUT027,3100.437518
FDK33,OUT017,4049.235808
NCD07,OUT045,1186.175964
NCX29,OUT027,4002.616492
NCT42,OUT013,2116.5782
DRN59,OUT035,779.871514
FDI44,OUT035,1334.715944
FDA45,OUT049,2208.312124
FDP31,OUT045,798.973316
FDY01,OUT046,1836.982148
FDT09,OUT018,1866.610248
DRH03,OUT027,2214.204454
FDA36,OUT018,2166.832784
NCF31,OUT017,2014.038342
FDG14,OUT049,2803.131186
FDG28,OUT027,5334.329678
FDU14,OUT049,4137.640732
FDY47,OUT019,294.829556
FDI56,OUT049,1411.322892
DRD01,OUT013,703.031536
FDM22,OUT046,1145.195974
FDH33,OUT013,698.011404
DRZ24,OUT013,2408.817794
NCQ38,OUT046,1650.864416
FDO16,OUT027,2344.641332
FDU07,OUT027,4130.763018
NCB07,OUT013,2374.655596
FDU48,OUT045,1573.764776
NCM43,OUT045,2613.418134
FDR31,OUT010,347.387808
DRK49,OUT018,343.432956
NCI30,OUT010,752.307394
DRD60,OUT017,3371.364854
NCG19,OUT046,3502.534112
FDH12,OUT035,2083.800866
FDM32,OUT035,1558.20503
FDM27,OUT035,2862.54052
NCU53,OUT027,4823.780922
NCQ18,OUT046,1750.061958
FDS10,OUT013,3010.208302
FDB33,OUT027,4576.715858
FDI12,OUT013,1480.552776
NCW42,OUT013,4072.53215
NCC06,OUT018,2283.580814
FDW02,OUT017,2661.448946
NCD43,OUT017,1670.938286
FDM57,OUT018,1049.826782
FDA58,OUT017,3139.599874
FDK56,OUT046,3376.757834
FDP52,OUT045,3923.253132
FDW20,OUT018,2069.912278
FDS52,OUT049,1491.065758
NCT29,OUT018,1590.522962
NCL54,OUT013,3420.494236
FDC05,OUT045,2451.082778
FDF34,OUT035,2911.083998
FDP03,OUT027,3388.349412
FDD32,OUT010,211.797638
FDZ10,OUT045,1918.03664
FDZ40,OUT035,1022.096212
FDD51,OUT018,415.579044
NCY30,OUT019,428.602092
FDP58,OUT017,3227.738478
FDV49,OUT017,4787.128632
FDY24,OUT019,143.240212
NCO55,OUT017,1882.789188
FDR13,OUT017,1705.486648
FDS51,OUT017,915.335182
FDP26,OUT045,1190.590218
NCB54,OUT027,4455.92642200001
FDF32,OUT017,3097.807608
FDN31,OUT018,2213.671814
DRM48,OUT017,791.43646
FDN20,OUT049,2744.673946
DRL01,OUT046,3715.66335
FDV56,OUT049,1518.996068
DRH13,OUT027,2809.789186
FDA03,OUT017,2982.624208
FDF47,OUT027,5728.256906
FDX32,OUT046,2985.806732
FDX57,OUT049,1630.837152
NCA30,OUT045,3377.124024
FDO49,OUT013,684.216028
FDL04,OUT019,209.473996
DRM48,OUT035,804.78575
FDR16,OUT013,4298.544618
NCC19,OUT018,3422.265264
NCE42,OUT045,2835.568962
FDY24,OUT017,1138.45142
FDH19,OUT049,1914.401372
FDJ46,OUT013,2486.376836
FDN45,OUT010,702.05281
FDY08,OUT035,2570.460718
FDZ37,OUT035,1565.482224
NCT30,OUT045,852.117472
DRY23,OUT018,488.63062
NCZ30,OUT018,1643.840226
FDC44,OUT018,1950.474416
FDB45,OUT035,1613.952464
FDY04,OUT013,2137.71735
FDM27,OUT046,2913.361034
FDZ43,OUT017,4096.90043
FDT39,OUT019,322.952948
NCC06,OUT019,331.788114
FDL15,OUT027,3816.63857799999
FDL57,OUT017,5064.80718
FDU08,OUT046,1202.474748
FDK40,OUT017,4332.080964
FDQ12,OUT010,551.21582
FDS48,OUT017,3147.229942
FDP09,OUT045,4708.024934
FDW21,OUT049,1505.853176
FDY25,OUT035,4048.656562
DRE13,OUT017,1423.899854
FDV43,OUT019,66.866294
FDD22,OUT045,2076.643516
FDM46,OUT019,375.97726
NCO30,OUT010,447.171254
FDM25,OUT046,2829.08407
NCN41,OUT049,2120.826004
FDU24,OUT045,1923.835758
FDZ50,OUT046,2869.145256
FDP45,OUT013,3474.390746
NCM54,OUT045,1548.404454
FDW10,OUT019,302.992264
FDP20,OUT017,1688.848306
FDK32,OUT046,2908.460746
FDN52,OUT049,1049.094402
FDM58,OUT045,2298.6745
FDZ46,OUT027,3092.820766
NCA18,OUT018,1570.375854
FDD35,OUT046,2243.453048
NCK31,OUT035,638.215906
FDI40,OUT027,2911.623296
FDT50,OUT019,201.963772
NCT06,OUT046,2592.92481
FDT31,OUT035,2917.116146
FDT45,OUT049,839.686986
FDT13,OUT045,2703.487558
FDO50,OUT045,1400.34385
NCU18,OUT010,347.301254
NCR54,OUT049,3233.464358
NCO18,OUT018,2673.533216
FDU09,OUT045,684.848538
FDT13,OUT018,3125.291832
FDE09,OUT046,1599.930716
NCK53,OUT019,290.168956
FDG45,OUT049,4258.842964
DRH15,OUT035,933.078752000001
FDO21,OUT019,486.906198
FDD14,OUT027,5960.31483800001
FDC09,OUT046,1463.208686
FDH45,OUT027,957.733326
FDV32,OUT046,1263.628478
FDG12,OUT035,2167.74493
FDS32,OUT013,1869.945906
NCL55,OUT018,3138.21501
DRE01,OUT035,4529.517296
DRE15,OUT049,1398.333134
NCL42,OUT045,4280.687862
FDP31,OUT013,875.673476
FDN33,OUT018,1183.512764
FDZ59,OUT046,2759.57455
FDE45,OUT010,298.11195
FDJ07,OUT013,1836.669222
FDQ45,OUT018,2625.742092
FDM33,OUT027,3720.816642
FDO15,OUT010,157.76131
FDM46,OUT013,1546.666716
FDR03,OUT045,3396.01277
FDY49,OUT018,2056.3233
FDQ60,OUT045,1763.744148
FDW10,OUT049,2775.979862
FDO51,OUT049,779.605194
FDJ40,OUT018,1433.547296
FDS20,OUT018,2420.902064
FDU45,OUT013,2059.838724
FDV02,OUT035,2811.533582
FDN09,OUT046,3627.797724
NCM55,OUT027,5113.650268
FDN23,OUT018,2420.01655
FDY31,OUT010,395.092378
